Y,Timestamp,X,Page,Interaction Type
424.5,1524099330649,194,magnetbox,touch
381.5,1524099341785,438,magnetbox,touch
380.5,1524099364222,691,magnetbox,touch
623,1524099373423,197,magnetbox,touch
658.5,1524099386954,436,magnetbox,touch
636.5,1524099396358,689.5,magnetbox,touch
905.5,1524099416074,179,magnetbox,touch
867.5,1524099424761,428,magnetbox,touch
888.5,1524099436567,708,magnetbox,touch
400,1524099454902,188,magnetbox,touch
416,1524099462755,410,magnetbox,touch
425,1524099467853,643,magnetbox,touch
632.5,1524099472719,197.5,magnetbox,touch
657,1524099488344,694.5,magnetbox,touch
875.5,1524099494971,206.5,magnetbox,touch
877,1524099506649,455,magnetbox,touch
902.5,1524099513324,702,magnetbox,touch
858,1524099515491,454.5,magnetbox,touch
399,1524181329452,218.5,magnetbox,touch
382,1524181339444,448.5,magnetbox,touch
366,1524181352042,668,magnetbox,touch
635,1524181363947,219.5,magnetbox,touch
646.5,1524181372663,438.5,magnetbox,touch
644,1524181379150,712.5,magnetbox,touch
875,1524181385757,224,magnetbox,touch
896,1524181391147,478,magnetbox,touch
898.5,1524181396496,690.5,magnetbox,touch
376,1524181404342,220,magnetbox,touch
377,1524181413804,454,magnetbox,touch
396,1524181420222,699,magnetbox,touch
635,1524181428424,223,magnetbox,touch
646.5,1524181441732,448.5,magnetbox,touch
638,1524181450808,696,magnetbox,touch
908.5,1524181454300,233,magnetbox,touch
904,1524181458123,476,magnetbox,touch
887.5,1524181461792,707.5,magnetbox,touch
386,1524186426542,179.5,magnetbox,touch
384.5,1524186438225,443,magnetbox,touch
391,1524186452607,720,magnetbox,touch
397,1524186454533,715.5,magnetbox,touch
383.5,1524186455963,718,magnetbox,touch
623.5,1524186468796,213,magnetbox,touch
656,1524186480240,472,magnetbox,touch
597,1524186481251,462,magnetbox,touch
639.5,1524186493357,706,magnetbox,touch
384,1524186512742,219.5,magnetbox,touch
382.5,1524186520187,469,magnetbox,touch
387.5,1524186534704,721,magnetbox,touch
652,1524186545079,172,magnetbox,touch
620.5,1524186555822,479,magnetbox,touch
636,1524186565678,751,magnetbox,touch
876.5,1524186576035,219.5,magnetbox,touch
888.5,1524186585191,462.5,magnetbox,touch
887.5,1524186590917,685,magnetbox,touch
362.5,1524191557793,228,magnetbox,touch
395,1524191568248,463,magnetbox,touch
392.5,1524191581193,745,magnetbox,touch
611,1524191591098,198.5,magnetbox,touch
622.5,1524191600114,478.5,magnetbox,touch
625.5,1524191607827,725,magnetbox,touch
882,1524191615568,215.5,magnetbox,touch
877,1524191626021,461,magnetbox,touch
835.5,1524191636891,753,magnetbox,touch
379,1524191645710,197,magnetbox,touch
384.5,1524191655531,478.5,magnetbox,touch
370,1524191665586,734,magnetbox,touch
602.5,1524191677243,219,magnetbox,touch
639,1524191689232,477,magnetbox,touch
654.5,1524191699784,709.5,magnetbox,touch
879,1524191706210,210.5,magnetbox,touch
886,1524191713488,471,magnetbox,touch
863,1524191719456,710.5,magnetbox,touch
367.5,1524270000000,201.5,magnetbox,touch
381.5,1524270000000,467,magnetbox,touch
385,1524270000000,691,magnetbox,touch
648,1524270000000,209,magnetbox,touch
594,1524270000000,461.5,magnetbox,touch
651,1524270000000,751,magnetbox,touch
886.5,1524270000000,206,magnetbox,touch
892.5,1524270000000,497.5,magnetbox,touch
904,1524270000000,721.5,magnetbox,touch
363.5,1524270000000,214,magnetbox,touch
382,1524270000000,455,magnetbox,touch
383,1524270000000,719,magnetbox,touch
657,1524270000000,217,magnetbox,touch
657.5,1524270000000,480.5,magnetbox,touch
649,1524270000000,698.5,magnetbox,touch
876.5,1524270000000,210.5,magnetbox,touch
885,1524270000000,480.5,magnetbox,touch
886,1524270000000,728.5,magnetbox,touch
402.5,1524340000000,212,magnetbox,touch
410,1524340000000,478,magnetbox,touch
414,1524340000000,677.5,magnetbox,touch
664,1524340000000,213,magnetbox,touch
661,1524340000000,475,magnetbox,touch
670,1524340000000,673,magnetbox,touch
888.5,1524340000000,210.5,magnetbox,touch
899.5,1524340000000,441,magnetbox,touch
889.5,1524340000000,722.5,magnetbox,touch
396.5,1524340000000,205,magnetbox,touch
407.5,1524340000000,482.5,magnetbox,touch
408.5,1524340000000,683.5,magnetbox,touch
673.5,1524340000000,182,magnetbox,touch
631.5,1524340000000,445,magnetbox,touch
664.5,1524340000000,732,magnetbox,touch
850.5,1524340000000,164.5,magnetbox,touch
875,1524340000000,465,magnetbox,touch
894,1524340000000,726,magnetbox,touch
378.5,1524340000000,194,magnetbox,touch
370.5,1524340000000,442.5,magnetbox,touch
379.5,1524340000000,710.5,magnetbox,touch
620.5,1524340000000,207.5,magnetbox,touch
665.5,1524340000000,468,magnetbox,touch
630,1524340000000,704.5,magnetbox,touch
895.5,1524340000000,229,magnetbox,touch
872,1524340000000,452.5,magnetbox,touch
882,1524340000000,688.5,magnetbox,touch
379,1524340000000,198,magnetbox,touch
359,1524340000000,451.5,magnetbox,touch
390,1524340000000,692.5,magnetbox,touch
661.5,1524340000000,171,magnetbox,touch
624,1524340000000,476.5,magnetbox,touch
661,1524340000000,731.5,magnetbox,touch
919,1524340000000,201.5,magnetbox,touch
853.5,1524340000000,453.5,magnetbox,touch
880,1524340000000,722.5,magnetbox,touch
379,1524340000000,198.5,magnetbox,touch
354,1524350000000,193,magnetbox,touch
393.5,1524350000000,435.5,magnetbox,touch
371,1524350000000,693.5,magnetbox,touch
640,1524350000000,219.5,magnetbox,touch
628,1524350000000,210.5,magnetbox,touch
665.5,1524350000000,456.5,magnetbox,touch
646.5,1524350000000,713.5,magnetbox,touch
894,1524350000000,212,magnetbox,touch
870,1524350000000,695.5,magnetbox,touch
395,1524350000000,219,magnetbox,touch
434,1524350000000,440,magnetbox,touch
630,1524350000000,192,magnetbox,touch
648.5,1524350000000,452.5,magnetbox,touch
654,1524350000000,692.5,magnetbox,touch
884,1524350000000,210.5,magnetbox,touch
881,1524350000000,465,magnetbox,touch
902.5,1524350000000,461.5,magnetbox,touch
895.5,1524350000000,456.5,magnetbox,touch
402.5,1524340000000,212,magnetbox,touch
410,1524340000000,478,magnetbox,touch
414,1524340000000,677.5,magnetbox,touch
664,1524340000000,213,magnetbox,touch
661,1524340000000,475,magnetbox,touch
670,1524340000000,673,magnetbox,touch
888.5,1524340000000,210.5,magnetbox,touch
899.5,1524340000000,441,magnetbox,touch
889.5,1524340000000,722.5,magnetbox,touch
396.5,1524340000000,205,magnetbox,touch
407.5,1524340000000,482.5,magnetbox,touch
408.5,1524340000000,683.5,magnetbox,touch
673.5,1524340000000,182,magnetbox,touch
631.5,1524340000000,445,magnetbox,touch
664.5,1524340000000,732,magnetbox,touch
