Y,Timestamp,X,Page,Interaction Type
390,1524098812467,221,zoombox,touch
377,1524098819949,447,zoombox,touch
373.5,1524098838853,715,zoombox,touch
629,1524098845764,218.5,zoombox,touch
628,1524098853854,456,zoombox,touch
641.5,1524098867660,730.5,zoombox,touch
844,1524098874778,217.5,zoombox,touch
898,1524098885841,496,zoombox,touch
913,1524098894114,732,zoombox,touch
382.5,1524098907472,221,zoombox,touch
379,1524098929955,463.5,zoombox,touch
407,1524098936413,725,zoombox,touch
638,1524098940543,221,zoombox,touch
644,1524098946146,465.5,zoombox,touch
629.5,1524098957659,712.5,zoombox,touch
864.5,1524098963905,219.5,zoombox,touch
865,1524098969365,456,zoombox,touch
877,1524098978875,728,zoombox,touch
387,1524180248129,191,zoombox,touch
381,1524180263490,458,zoombox,touch
370,1524180272965,672,zoombox,touch
620.5,1524180288678,433,zoombox,touch
620,1524180299402,715,zoombox,touch
898.5,1524180308616,239,zoombox,touch
877,1524180313107,430,zoombox,touch
884,1524180330839,723,zoombox,touch
874.5,1524180346685,708,zoombox,touch
380.5,1524180355987,223.5,zoombox,touch
390,1524180359126,447,zoombox,touch
367.5,1524180371399,715.5,zoombox,touch
652.5,1524180374622,203.5,zoombox,touch
650,1524180378640,473.5,zoombox,touch
640.5,1524180404550,471.5,zoombox,touch
901.5,1524180412164,194.5,zoombox,touch
874.5,1524180419510,449,zoombox,touch
890.5,1524180426879,709.5,zoombox,touch
384.5,1524185175019,190,zoombox,touch
417.5,1524185205234,435.5,zoombox,touch
666,1524185217039,207,zoombox,touch
639,1524185226139,471.5,zoombox,touch
661.5,1524185249642,714,zoombox,touch
910,1524185265720,241.5,zoombox,touch
873.5,1524185269419,438,zoombox,touch
872.5,1524185272598,703,zoombox,touch
380,1524185275661,189,zoombox,touch
387.5,1524185281453,467,zoombox,touch
403.5,1524185287400,701.5,zoombox,touch
684.5,1524185297994,207.5,zoombox,touch
652.5,1524185304965,440.5,zoombox,touch
630,1524185313236,722.5,zoombox,touch
883.5,1524185329412,193,zoombox,touch
886.5,1524185342643,448.5,zoombox,touch
883,1524185363828,684.5,zoombox,touch
371,1524190105330,204.5,zoombox,touch
378,1524190116182,481,zoombox,touch
417,1524190137243,747.5,zoombox,touch
626.5,1524190147639,204.5,zoombox,touch
617,1524190153508,474,zoombox,touch
650,1524190166780,715.5,zoombox,touch
855.5,1524190173369,217.5,zoombox,touch
896.5,1524190187980,443.5,zoombox,touch
874.5,1524190196830,732,zoombox,touch
366,1524190208776,198,zoombox,touch
636.5,1524190235938,220.5,zoombox,touch
611,1524190242935,460.5,zoombox,touch
646,1524190251890,727,zoombox,touch
887.5,1524190258854,208.5,zoombox,touch
876.5,1524190266298,460.5,zoombox,touch
922,1524190274142,730.5,zoombox,touch
409,1524190280392,205,zoombox,touch
396,1524190289586,493,zoombox,touch
381,1524270000000,214.5,zoombox,touch
390,1524270000000,458.5,zoombox,touch
639.5,1524270000000,195,zoombox,touch
630,1524270000000,471,zoombox,touch
651,1524270000000,470,zoombox,touch
657.5,1524270000000,715.5,zoombox,touch
885.5,1524270000000,210,zoombox,touch
881,1524270000000,486.5,zoombox,touch
894,1524270000000,705,zoombox,touch
404,1524270000000,230,zoombox,touch
345.5,1524270000000,499,zoombox,touch
412,1524270000000,690.5,zoombox,touch
638.5,1524270000000,239,zoombox,touch
665,1524270000000,470.5,zoombox,touch
602,1524270000000,734,zoombox,touch
881,1524270000000,224.5,zoombox,touch
894,1524270000000,494.5,zoombox,touch
911,1524270000000,689,zoombox,touch
403,1524340000000,228.5,zoombox,touch
376.5,1524340000000,452.5,zoombox,touch
387.5,1524340000000,712,zoombox,touch
638,1524340000000,206,zoombox,touch
645.5,1524340000000,466,zoombox,touch
634,1524340000000,717.5,zoombox,touch
879.5,1524340000000,232,zoombox,touch
892,1524340000000,456,zoombox,touch
902,1524340000000,698.5,zoombox,touch
380,1524340000000,213.5,zoombox,touch
373,1524340000000,467,zoombox,touch
624,1524340000000,196.5,zoombox,touch
657.5,1524340000000,499,zoombox,touch
660.5,1524340000000,755.5,zoombox,touch
866.5,1524340000000,193.5,zoombox,touch
900.5,1524340000000,455.5,zoombox,touch
875.5,1524340000000,705,zoombox,touch
908.5,1524340000000,486.5,zoombox,touch
654,1524340000000,468.5,zoombox,touch
360,1524340000000,182,zoombox,touch
396.5,1524340000000,478.5,zoombox,touch
385.5,1524340000000,706,zoombox,touch
381,1524340000000,715.5,zoombox,touch
380,1524340000000,727,zoombox,touch
657.5,1524340000000,223,zoombox,touch
624,1524340000000,429.5,zoombox,touch
628,1524340000000,451.5,zoombox,touch
627,1524340000000,458.5,zoombox,touch
625.5,1524340000000,465.5,zoombox,touch
631.5,1524340000000,718,zoombox,touch
355.5,1524340000000,194,zoombox,touch
358.5,1524340000000,473.5,zoombox,touch
367,1524340000000,717,zoombox,touch
624,1524340000000,192,zoombox,touch
625.5,1524340000000,459.5,zoombox,touch
627,1524340000000,699.5,zoombox,touch
899.5,1524340000000,223,zoombox,touch
883.5,1524340000000,428.5,zoombox,touch
879,1524340000000,679.5,zoombox,touch
374,1524340000000,198.5,zoombox,touch
366.5,1524340000000,452.5,zoombox,touch
347,1524340000000,692,zoombox,touch
658.5,1524340000000,201.5,zoombox,touch
622,1524340000000,436.5,zoombox,touch
634.5,1524340000000,673,zoombox,touch
872,1524340000000,220.5,zoombox,touch
876,1524340000000,435,zoombox,touch
858,1524340000000,722.5,zoombox,touch
354,1524340000000,196.5,zoombox,touch
370,1524340000000,440.5,zoombox,touch
615.5,1524340000000,199,zoombox,touch
401.5,1524350000000,213,zoombox,touch
391,1524350000000,468.5,zoombox,touch
397,1524350000000,708,zoombox,touch
623,1524350000000,216.5,zoombox,touch
392.5,1524350000000,225,zoombox,touch
374.5,1524350000000,435.5,zoombox,touch
673.5,1524350000000,461.5,zoombox,touch
635,1524350000000,696,zoombox,touch
875,1524350000000,204,zoombox,touch
882,1524350000000,451,zoombox,touch
908.5,1524350000000,721,zoombox,touch
909.5,1524350000000,695.5,zoombox,touch
407.5,1524350000000,210.5,zoombox,touch
389,1524350000000,458,zoombox,touch
383,1524350000000,464.5,zoombox,touch
390.5,1524350000000,699,zoombox,touch
627,1524350000000,202,zoombox,touch
626,1524350000000,457,zoombox,touch
650.5,1524350000000,712.5,zoombox,touch
906,1524350000000,231,zoombox,touch
886.5,1524350000000,695,zoombox,touch
382,1524340000000,189,zoombox,touch
383.5,1524340000000,460,zoombox,touch
398.5,1524340000000,722.5,zoombox,touch
643.5,1524340000000,213,zoombox,touch
577.5,1524340000000,429,zoombox,touch
646.5,1524340000000,703.5,zoombox,touch
881.5,1524340000000,211.5,zoombox,touch
906,1524340000000,484.5,zoombox,touch
878,1524340000000,700.5,zoombox,touch
394,1524340000000,210.5,zoombox,touch
381,1524340000000,453,zoombox,touch
405,1524340000000,720,zoombox,touch
629,1524340000000,202.5,zoombox,touch
642.5,1524340000000,468.5,zoombox,touch
634,1524340000000,719.5,zoombox,touch
883.5,1524340000000,214,zoombox,touch
888.5,1524340000000,457.5,zoombox,touch
893.5,1524340000000,720,zoombox,touch
355.5,1524340000000,194,zoombox,touch
358.5,1524340000000,473.5,zoombox,touch
367,1524340000000,717,zoombox,touch
624,1524340000000,192,zoombox,touch
625.5,1524340000000,459.5,zoombox,touch
627,1524340000000,699.5,zoombox,touch
899.5,1524340000000,223,zoombox,touch
883.5,1524340000000,428.5,zoombox,touch
879,1524340000000,679.5,zoombox,touch
374,1524340000000,198.5,zoombox,touch
366.5,1524340000000,452.5,zoombox,touch
347,1524340000000,692,zoombox,touch
658.5,1524340000000,201.5,zoombox,touch
622,1524340000000,436.5,zoombox,touch
634.5,1524340000000,673,zoombox,touch
872,1524340000000,220.5,zoombox,touch
876,1524340000000,435,zoombox,touch
858,1524340000000,722.5,zoombox,touch
354,1524340000000,196.5,zoombox,touch
370,1524340000000,440.5,zoombox,touch
615.5,1524340000000,199,zoombox,touch
401.5,1524350000000,213,zoombox,touch
391,1524350000000,468.5,zoombox,touch
397,1524350000000,708,zoombox,touch
623,1524350000000,216.5,zoombox,touch
392.5,1524350000000,225,zoombox,touch
374.5,1524350000000,435.5,zoombox,touch
673.5,1524350000000,461.5,zoombox,touch
635,1524350000000,696,zoombox,touch
875,1524350000000,204,zoombox,touch
882,1524350000000,451,zoombox,touch
908.5,1524350000000,721,zoombox,touch
909.5,1524350000000,695.5,zoombox,touch
407.5,1524350000000,210.5,zoombox,touch
389,1524350000000,458,zoombox,touch
383,1524350000000,464.5,zoombox,touch
390.5,1524350000000,699,zoombox,touch
627,1524350000000,202,zoombox,touch
626,1524350000000,457,zoombox,touch
650.5,1524350000000,712.5,zoombox,touch
906,1524350000000,231,zoombox,touch
886.5,1524350000000,695,zoombox,touch
374.5,1524530000000,224,zoombox,touch
391,1524530000000,486,zoombox,touch
423.5,1524530000000,746,zoombox,touch
660,1524530000000,234.5,zoombox,touch
644.5,1524530000000,473.5,zoombox,touch
666,1524530000000,728.5,zoombox,touch
870,1524530000000,223.5,zoombox,touch
864.5,1524530000000,466,zoombox,touch
875,1524530000000,709.5,zoombox,touch
371,1524530000000,217,zoombox,touch
416,1524530000000,246.5,zoombox,touch
400,1524530000000,468,zoombox,touch
359,1524530000000,711,zoombox,touch
624,1524530000000,210,zoombox,touch
631,1524530000000,465,zoombox,touch
621,1524530000000,714.5,zoombox,touch
891,1524530000000,223,zoombox,touch
874.5,1524530000000,472.5,zoombox,touch
888.5,1524530000000,710.5,zoombox,touch
881.5,1524530000000,707.5,zoombox,touch
391,1524699033299,209.5,zoombox,touch
390.5,1524699043387,468,zoombox,touch
380,1524699056279,727.5,zoombox,touch
630,1524699066561,231.5,zoombox,touch
643,1524699079303,457.5,zoombox,touch
629,1524699093195,713,zoombox,touch
884.5,1524699103687,219.5,zoombox,touch
877,1524699111207,461.5,zoombox,touch
888.5,1524699123991,713.5,zoombox,touch
387.5,1524699133664,213,zoombox,touch
388.5,1524699144169,463.5,zoombox,touch
391,1524699155484,716.5,zoombox,touch
638.5,1524699163619,212.5,zoombox,touch
629.5,1524699173041,468.5,zoombox,touch
647.5,1524699178828,716.5,zoombox,touch
890.5,1524699187091,206.5,zoombox,touch
898.5,1524699191191,459,zoombox,touch
891.5,1524699195664,734,zoombox,touch
391,1524699033299,209.5,zoombox,
390.5,1524699043387,468,zoombox,
380,1524699056279,727.5,zoombox,
630,1524699066561,231.5,zoombox,
643,1524699079303,457.5,zoombox,
629,1524699093195,713,zoombox,
884.5,1524699103687,219.5,zoombox,
877,1524699111207,461.5,zoombox,
888.5,1524699123991,713.5,zoombox,
387.5,1524699133664,213,zoombox,
388.5,1524699144169,463.5,zoombox,
391,1524699155484,716.5,zoombox,
638.5,1524699163619,212.5,zoombox,
629.5,1524699173041,468.5,zoombox,
647.5,1524699178828,716.5,zoombox,
890.5,1524699187091,206.5,zoombox,
898.5,1524699191191,459,zoombox,
891.5,1524699195664,734,zoombox,
378,1524765213061,177,zoombox,
414,1524765222601,458.5,zoombox,
356.5,1524765232186,728,zoombox,
632,1524765239375,203.5,zoombox,
635,1524765252939,471.5,zoombox,
645.5,1524765257272,706,zoombox,
880,1524765265014,238.5,zoombox,
856,1524765274734,490.5,zoombox,
871.5,1524765283667,724.5,zoombox,
416.5,1524765294702,219,zoombox,
407,1524765303668,479.5,zoombox,
418,1524765314214,724.5,zoombox,
667,1524765328066,222.5,zoombox,
