y,timestamp,x,page,interactionType
390,1524098812467,221,zoombox,touch
377,1524098819949,447,zoombox,touch
373.5,1524098838853,715,zoombox,touch
629,1524098845764,218.5,zoombox,touch
628,1524098853854,456,zoombox,touch
641.5,1524098867660,730.5,zoombox,touch
844,1524098874778,217.5,zoombox,touch
898,1524098885841,496,zoombox,touch
913,1524098894114,732,zoombox,touch
382.5,1524098907472,221,zoombox,touch
379,1524098929955,463.5,zoombox,touch
407,1524098936413,725,zoombox,touch
638,1524098940543,221,zoombox,touch
644,1524098946146,465.5,zoombox,touch
629.5,1524098957659,712.5,zoombox,touch
864.5,1524098963905,219.5,zoombox,touch
865,1524098969365,456,zoombox,touch
877,1524098978875,728,zoombox,touch
424.5,1524099330649,194,magnetbox,touch
381.5,1524099341785,438,magnetbox,touch
380.5,1524099364222,691,magnetbox,touch
623,1524099373423,197,magnetbox,touch
658.5,1524099386954,436,magnetbox,touch
636.5,1524099396358,689.5,magnetbox,touch
905.5,1524099416074,179,magnetbox,touch
867.5,1524099424761,428,magnetbox,touch
888.5,1524099436567,708,magnetbox,touch
400,1524099454902,188,magnetbox,touch
416,1524099462755,410,magnetbox,touch
425,1524099467853,643,magnetbox,touch
632.5,1524099472719,197.5,magnetbox,touch
657,1524099488344,694.5,magnetbox,touch
875.5,1524099494971,206.5,magnetbox,touch
877,1524099506649,455,magnetbox,touch
902.5,1524099513324,702,magnetbox,touch
858,1524099515491,454.5,magnetbox,touch
412,1524099962592,194.5,zoombox,touch
392,1524099971409,447,zoombox,touch
378,1524099997100,689,zoombox,touch
645,1524100005506,188.5,zoombox,touch
635,1524100011573,442,zoombox,touch
640,1524100017969,680.5,zoombox,touch
908.5,1524100029748,192.5,zoombox,touch
881.5,1524100036725,450,zoombox,touch
882.5,1524100047453,690,zoombox,touch
398,1524100056376,208,zoombox,touch
394.5,1524100065923,456.5,zoombox,touch
443.5,1524100071830,686,zoombox,touch
867.5,1524100095002,213.5,zoombox,touch
874,1524100099552,449.5,zoombox,touch
926.5,1524100106352,699,zoombox,touch
643.5,1524100113643,204,zoombox,touch
627.5,1524100124543,455,zoombox,touch
669,1524100133375,721,zoombox,touch
